record,position,top1_match,max_abs_logit_difference,mean_abs_logit_difference,serial_divergent_accepted_tokens_in_action,strict_accepted_prefix_length,causal_comparable_positions
100,2,1,0.771484375,0.20058822631835938,0,3,5
100,3,0,0.625,0.14162373542785645,0,3,5
100,4,1,0.625,0.1775665283203125,0,3,5
101,0,1,0.125,0.0070400238037109375,0,1,2
101,1,0,0.5703125,0.1585369110107422,0,1,2
102,0,1,0.125,0.00685882568359375,0,1,2
102,1,1,0.5625,0.1502065658569336,0,1,2
103,0,1,0.125,0.006626605987548828,0,0,1
104,0,1,0.125,0.005782127380371094,0,0,1
105,0,1,0.125,0.00571441650390625,0,2,3
105,1,1,0.6875,0.15695953369140625,0,2,3
105,2,1,0.875,0.22033214569091797,0,2,3
106,0,1,0.125,0.0057277679443359375,0,7,7
106,1,1,0.875,0.23032760620117188,0,7,7
106,2,1,0.75,0.17616558074951172,0,7,7
106,3,1,0.65625,0.1501760482788086,0,7,7
106,4,1,0.875,0.24516546726226807,0,7,7
106,5,1,0.6875,0.17541980743408203,0,7,7
106,6,1,0.40625,0.09488677978515625,0,7,7
107,0,1,0.125,0.0038909912109375,0,7,7
107,1,1,0.6875,0.18019771575927734,0,7,7
107,2,1,0.75,0.21732378005981445,0,7,7
107,3,1,0.78125,0.14224815368652344,0,7,7
107,4,1,0.6875,0.21171855926513672,0,7,7
107,5,1,1.0,0.19589900970458984,0,7,7
107,6,1,0.375,0.09723711013793945,0,7,7
108,0,1,0.125,0.004082679748535156,0,1,2
108,1,1,0.859375,0.18948745727539062,0,1,2
109,0,1,0.125,0.007686614990234375,0,7,7
109,1,1,0.75,0.20281028747558594,0,7,7
109,2,1,0.625,0.1851043701171875,0,7,7
109,3,1,0.625,0.1536874771118164,0,7,7
109,4,1,0.59375,0.16546630859375,0,7,7
109,5,1,0.875,0.15926694869995117,0,7,7
109,6,1,0.359375,0.09795475006103516,0,7,7
110,0,1,0.125,0.007310390472412109,0,7,7
110,1,1,1.0,0.24041748046875,0,7,7
110,2,1,0.625,0.1582632064819336,0,7,7
110,3,1,0.75,0.2030157744884491,0,7,7
110,4,1,0.6875,0.1702728271484375,0,7,7
110,5,1,0.71875,0.18204760551452637,0,7,7
110,6,1,0.375,0.10695892572402954,0,7,7
111,0,1,0.125,0.004391789436340332,0,7,7
111,1,1,0.875,0.20113182067871094,0,7,7
111,2,1,0.5625,0.1630401611328125,0,7,7
111,3,1,0.875,0.2023618221282959,0,7,7
111,4,1,0.75,0.21151971817016602,0,7,7
111,5,1,0.5625,0.15744233131408691,0,7,7
111,6,1,0.34375,0.08593034744262695,0,7,7
112,0,1,0.125,0.0048274993896484375,0,7,7
112,1,1,0.75,0.20943450927734375,0,7,7
112,2,1,0.625,0.17773056030273438,0,7,7
112,3,1,0.5,0.15297171473503113,0,7,7
112,4,1,0.6875,0.15889358520507812,0,7,7
112,5,1,0.53125,0.17124271392822266,0,7,7
112,6,1,0.40625,0.08730220794677734,0,7,7
113,0,1,0.125,0.00534820556640625,0,7,7
113,1,1,0.625,0.1862804889678955,0,7,7
113,2,1,0.6875,0.18189430236816406,0,7,7
113,3,1,0.625,0.1808938980102539,0,7,7
113,4,1,0.625,0.18244171142578125,0,7,7
113,5,1,0.75,0.18594646453857422,0,7,7
113,6,1,0.5,0.10002034902572632,0,7,7
114,0,1,0.125,0.006069183349609375,0,7,7
114,1,1,0.9375,0.23488235473632812,0,7,7
114,2,1,0.75,0.17203950881958008,0,7,7
114,3,1,1.125,0.1954212188720703,0,7,7
114,4,1,0.7978515625,0.18223190307617188,0,7,7
114,5,1,0.6875,0.17519140243530273,0,7,7
114,6,1,0.3125,0.08752584457397461,0,7,7
115,0,1,0.125,0.0068683624267578125,0,7,7
115,1,1,0.625,0.1855010986328125,0,7,7
115,2,1,0.5625,0.14683961868286133,0,7,7
115,3,1,0.6396484375,0.15257644653320312,0,7,7
115,4,1,0.875,0.22513675689697266,0,7,7
115,5,1,0.625,0.16346806287765503,0,7,7
115,6,1,0.34375,0.09825587272644043,0,7,7
116,0,1,0.125,0.005893707275390625,0,7,7
116,1,1,0.75,0.1758251190185547,0,7,7
116,2,1,0.8125,0.1650526523590088,0,7,7
116,3,1,0.6875,0.1584949493408203,0,7,7
116,4,1,0.703125,0.18285369873046875,0,7,7
116,5,1,0.75,0.22446346282958984,0,7,7
116,6,1,0.34375,0.08901214599609375,0,7,7
117,0,1,0.125,0.0054950714111328125,2,7,5
117,1,1,0.6875,0.16962814331054688,2,7,5
117,2,1,0.5625,0.1643829345703125,2,7,5
117,3,1,0.46875,0.14357483386993408,2,7,5
117,4,0,0.8203125,0.22960281372070312,2,7,5
118,0,1,0.125,0.00388336181640625,0,7,7
118,1,1,0.625,0.1658424735069275,0,7,7
118,2,1,0.6875,0.1750926971435547,0,7,7
118,3,1,0.5625,0.14028985798358917,0,7,7
118,4,1,0.75,0.19475555419921875,0,7,7
118,5,1,0.75,0.1935710906982422,0,7,7
118,6,1,0.3125,0.0890607237815857,0,7,7
119,0,1,0.125,0.00482940673828125,0,7,7
119,1,1,0.62890625,0.1678781509399414,0,7,7
119,2,1,0.6875,0.15069007873535156,0,7,7
119,3,1,0.6875,0.17531538009643555,0,7,7
119,4,1,0.6875,0.22025728225708008,0,7,7
119,5,1,0.75,0.16896724700927734,0,7,7
119,6,1,0.375,0.09889471530914307,0,7,7
120,0,1,0.125,0.008363723754882812,0,1,2
120,1,1,0.625,0.21085596084594727,0,1,2
121,0,1,0.125,0.007965564727783203,0,7,7
121,1,1,0.625,0.14211511611938477,0,7,7
121,2,1,0.6875,0.14325237274169922,0,7,7
121,3,1,0.78125,0.15925073623657227,0,7,7
121,4,1,1.0,0.22701454162597656,0,7,7
121,5,1,0.79296875,0.22290802001953125,0,7,7
121,6,1,0.375,0.1072545051574707,0,7,7
122,0,1,0.125,0.006405353546142578,0,1,2
122,1,1,0.6875,0.20534706115722656,0,1,2
123,0,1,0.125,0.006076812744140625,0,1,2
123,1,1,0.875,0.1739940643310547,0,1,2
124,0,1,0.125,0.008253514766693115,0,3,7
124,1,1,0.78125,0.21672582626342773,0,3,7
124,2,1,0.75,0.18802833557128906,0,3,7
124,3,0,0.6875,0.15567874908447266,0,3,7
124,4,1,1.0,0.26741504669189453,0,3,7
124,5,1,0.640625,0.1844949722290039,0,3,7
124,6,1,0.328125,0.10930538177490234,0,3,7
125,0,1,0.125,0.00840085744857788,0,7,7
125,1,1,0.75,0.1880474090576172,0,7,7
125,2,1,0.6875,0.16073226928710938,0,7,7
125,3,1,0.96875,0.2048778533935547,0,7,7
125,4,1,0.8125,0.18196868896484375,0,7,7
125,5,1,0.6875,0.18505096435546875,0,7,7
125,6,1,0.3125,0.10553550720214844,0,7,7
126,0,1,0.125,0.00355607271194458,0,1,7
126,1,0,0.625,0.15279603004455566,0,1,7
126,2,1,0.75,0.2147216796875,0,1,7
126,3,1,0.59375,0.1608734130859375,0,1,7
126,4,1,0.7734375,0.2005290985107422,0,1,7
126,5,1,0.6953125,0.20311832427978516,0,1,7
126,6,1,0.3828125,0.11922645568847656,0,1,7
127,0,1,0.125,0.0058841705322265625,0,1,2
127,1,1,0.75,0.18349313735961914,0,1,2
128,0,1,0.125,0.0044193267822265625,0,7,7
128,1,1,0.75,0.19553375244140625,0,7,7
128,2,1,0.59375,0.15782546997070312,0,7,7
128,3,1,0.8125,0.1302521675825119,0,7,7
128,4,1,0.8125,0.2168588638305664,0,7,7
128,5,1,0.71875,0.17294979095458984,0,7,7
128,6,1,0.35546875,0.08860015869140625,0,7,7
129,0,1,0.125,0.004863262176513672,0,7,7
129,1,1,0.875,0.2318553924560547,0,7,7
129,2,1,0.75,0.1747894287109375,0,7,7
129,3,1,0.6875,0.19227850437164307,0,7,7
129,4,1,0.5,0.1412200927734375,0,7,7
129,5,1,0.65625,0.1905364990234375,0,7,7
129,6,1,0.4453125,0.09555625915527344,0,7,7
130,0,1,0.125,0.0049381256103515625,0,7,7
130,1,1,0.84375,0.20172119140625,0,7,7
130,2,1,0.6875,0.18069934844970703,0,7,7
130,3,1,0.75,0.14825916290283203,0,7,7
130,4,1,0.75,0.2150115966796875,0,7,7
130,5,1,0.625,0.17467832565307617,0,7,7
130,6,1,0.3125,0.0989377498626709,0,7,7
131,0,1,0.125,0.007877349853515625,0,7,7
131,1,1,0.625,0.16889429092407227,0,7,7
131,2,1,0.75,0.1918182373046875,0,7,7
131,3,1,0.52880859375,0.1566753387451172,0,7,7
131,4,1,0.875,0.1935272216796875,0,7,7
131,5,1,1.125,0.2448408603668213,0,7,7
131,6,1,0.3125,0.08920907974243164,0,7,7
132,0,1,0.125,0.003780364990234375,0,7,7
132,1,1,0.6796875,0.17294424772262573,0,7,7
